;Pedido;Categoria;Cidade;Tipo Consumidor;Genero;Linha de Produtos;Preço Unitário;Quantidade;Taxa de 5%;Total;Data;Hora;Forma de Pagamento;CMV;(%)margem bruta;Renda Bruta;Classificação
0;750-67-8428;A;Belo Horizonte;Membro;Feminino;Saúde e beleza;74.69;7;261.415;5.489.715;05/01/2019;13:08;Débito;522.83;4.761.904.762;261.415;9.1
1;226-31-3081;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;15.28;5;3.82;80.22;08/03/2019;10:29;Dinheiro;76.4;4.761.904.762;3.82;9.6
2;631-41-3108;A;Belo Horizonte;Normal;Masculino;Casa e estilo de vida;46.33;7;162.155;3.405.255;03/03/2019;13:23;Crédito;324.31;4.761.904.762;162.155;7.4
3;123-19-1176;A;Belo Horizonte;Membro;Masculino;Saúde e beleza;58.22;8;23.288;489.048;27/01/2019;20:33;Débito;465.76;4.761.904.762;23.288;8.4
4;373-73-7910;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;86.31;7;302.085;6.343.785;08/02/2019;10:37;Débito;604.17;4.761.904.762;302.085;5.3
5;699-14-3026;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;85.39;7;298.865;6.276.165;25/03/2019;18:30;Débito;597.73;4.761.904.762;298.865;4.1
6;355-53-5943;A;Belo Horizonte;Membro;Feminino;Acessórios eletrônicos;68.84;6;20.652;433.692;25/02/2019;14:36;Débito;413.04;4.761.904.762;20.652;5.8
7;315-22-5665;C;Rio de Janeiro;Normal;Feminino;Casa e estilo de vida;73.56;10;36.78;772.38;24/02/2019;11:38;Débito;735.6;4.761.904.762;36.78;8
8;665-32-9167;A;Belo Horizonte;Membro;Feminino;Saúde e beleza;36.26;2;3.626;76.146;10/01/2019;17:15;Crédito;72.52;4.761.904.762;3.626;7.2
9;692-92-5582;B;São Paulo;Membro;Feminino;Alimentos e bebidas;54.84;3;8.226;172.746;20/02/2019;13:27;Crédito;164.52;4.761.904.762;8.226;5.9
10;351-62-0822;B;São Paulo;Membro;Feminino;Acessórios de moda;14.48;4;2.896;60.816;06/02/2019;18:07;Débito;57.92;4.761.904.762;2.896;4.5
11;529-56-3974;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;25.51;4;5.102;107.142;09/03/2019;17:03;Dinheiro;102.04;4.761.904.762;5.102;6.8
12;365-64-0515;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;46.95;5;117.375;2.464.875;12/02/2019;10:25;Débito;234.75;4.761.904.762;117.375;7.1
13;252-56-2699;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;43.19;10;21.595;453.495;07/02/2019;16:48;Débito;431.9;4.761.904.762;21.595;8.2
14;829-34-3910;A;Belo Horizonte;Normal;Feminino;Saúde e beleza;71.38;10;35.69;749.49;29/03/2019;19:21;Dinheiro;713.8;4.761.904.762;35.69;5.7
15;299-46-1805;B;São Paulo;Membro;Feminino;Esportes e viagens;93.72;6;28.116;590.436;15/01/2019;16:19;Dinheiro;562.32;4.761.904.762;28.116;4.5
16;656-95-9349;A;Belo Horizonte;Membro;Feminino;Saúde e beleza;68.93;7;241.255;5.066.355;11/03/2019;11:03;Crédito;482.51;4.761.904.762;241.255;4.6
17;765-26-6951;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;72.61;6;21.783;457.443;01/01/2019;10:39;Crédito;435.66;4.761.904.762;21.783;6.9
18;329-62-1586;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;54.67;3;82.005;1.722.105;21/01/2019;18:00;Crédito;164.01;4.761.904.762;82.005;8.6
19;319-50-3348;B;São Paulo;Normal;Feminino;Casa e estilo de vida;40.3;2;4.03;84.63;11/03/2019;15:30;Débito;80.6;4.761.904.762;4.03;4.4
20;300-71-4605;C;Rio de Janeiro;Membro;Masculino;Acessórios eletrônicos;86.04;5;21.51;451.71;25/02/2019;11:24;Débito;430.2;4.761.904.762;21.51;4.8
21;371-85-5789;B;São Paulo;Normal;Masculino;Saúde e beleza;87.98;3;13.197;277.137;05/03/2019;10:40;Débito;263.94;4.761.904.762;13.197;5.1
22;273-16-6619;B;São Paulo;Normal;Masculino;Casa e estilo de vida;33.2;2;3.32;69.72;15/03/2019;12:20;Crédito;66.4;4.761.904.762;3.32;4.4
23;636-48-8204;A;Belo Horizonte;Normal;Masculino;Acessórios eletrônicos;34.56;5;8.64;181.44;17/02/2019;11:15;Débito;172.8;4.761.904.762;8.64;9.9
24;549-59-1358;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;88.63;3;132.945;2.791.845;02/03/2019;17:36;Débito;265.89;4.761.904.762;132.945;6
25;227-03-5010;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;52.59;8;21.036;441.756;22/03/2019;19:20;Crédito;420.72;4.761.904.762;21.036;8.5
26;649-29-6775;B;São Paulo;Normal;Masculino;Acessórios de moda;33.52;1;1.676;35.196;08/02/2019;15:31;Dinheiro;33.52;4.761.904.762;1.676;6.7
27;189-17-4241;A;Belo Horizonte;Normal;Feminino;Acessórios de moda;87.67;2;8.767;184.107;10/03/2019;12:17;Crédito;175.34;4.761.904.762;8.767;7.7
28;145-94-9061;B;São Paulo;Normal;Feminino;Alimentos e bebidas;88.36;5;22.09;463.89;25/01/2019;19:48;Dinheiro;441.8;4.761.904.762;22.09;9.6
29;848-62-7243;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;24.89;9;112.005;2.352.105;15/03/2019;15:36;Dinheiro;224.01;4.761.904.762;112.005;7.4
30;871-79-8483;B;São Paulo;Normal;Masculino;Acessórios de moda;94.13;5;235.325;4.941.825;25/02/2019;19:39;Crédito;470.65;4.761.904.762;235.325;4.8
31;149-71-6266;B;São Paulo;Membro;Masculino;Esportes e viagens;78.07;9;351.315;7.377.615;28/01/2019;12:43;Dinheiro;702.63;4.761.904.762;351.315;4.5
32;640-49-2076;B;São Paulo;Normal;Masculino;Esportes e viagens;83.78;8;33.512;703.752;10/01/2019;14:49;Dinheiro;670.24;4.761.904.762;33.512;5.1
33;595-11-5460;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;96.58;2;9.658;202.818;15/03/2019;10:12;Crédito;193.16;4.761.904.762;9.658;5.1
34;183-56-6882;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;99.42;4;19.884;417.564;06/02/2019;10:42;Débito;397.68;4.761.904.762;19.884;7.5
35;232-16-2483;C;Rio de Janeiro;Membro;Feminino;Esportes e viagens;68.12;1;3.406;71.526;07/01/2019;12:28;Débito;68.12;4.761.904.762;3.406;6.8
36;129-29-8530;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;62.62;5;15.655;328.755;10/03/2019;19:15;Débito;313.1;4.761.904.762;15.655;7
37;272-65-1806;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;60.88;9;27.396;575.316;15/01/2019;17:17;Débito;547.92;4.761.904.762;27.396;4.7
38;333-73-7901;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;54.92;8;21.968;461.328;23/03/2019;13:24;Débito;439.36;4.761.904.762;21.968;7.6
39;777-82-7220;B;São Paulo;Membro;Masculino;Casa e estilo de vida;30.12;8;12.048;253.008;03/03/2019;13:01;Dinheiro;240.96;4.761.904.762;12.048;7.7
40;280-35-5823;B;São Paulo;Membro;Feminino;Casa e estilo de vida;86.72;1;4.336;91.056;17/01/2019;18:45;Débito;86.72;4.761.904.762;4.336;7.9
41;554-53-8700;C;Rio de Janeiro;Membro;Masculino;Casa e estilo de vida;56.11;2;5.611;117.831;02/02/2019;10:11;Dinheiro;112.22;4.761.904.762;5.611;6.3
42;354-25-5821;B;São Paulo;Membro;Feminino;Esportes e viagens;69.12;6;20.736;435.456;08/02/2019;13:03;Dinheiro;414.72;4.761.904.762;20.736;5.6
43;228-96-1411;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;98.7;8;39.48;829.08;04/03/2019;20:39;Dinheiro;789.6;4.761.904.762;39.48;7.6
44;617-15-4209;C;Rio de Janeiro;Membro;Masculino;Saúde e beleza;15.37;2;1.537;32.277;16/03/2019;19:47;Dinheiro;30.74;4.761.904.762;1.537;7.2
45;132-32-9879;B;São Paulo;Membro;Feminino;Acessórios eletrônicos;93.96;4;18.792;394.632;09/03/2019;18:00;Dinheiro;375.84;4.761.904.762;18.792;9.5
46;370-41-7321;B;São Paulo;Membro;Masculino;Saúde e beleza;56.69;9;255.105;5.357.205;27/02/2019;17:24;Crédito;510.21;4.761.904.762;255.105;8.4
47;727-46-3608;B;São Paulo;Membro;Feminino;Alimentos e bebidas;20.01;9;90.045;1.890.945;06/02/2019;15:47;Débito;180.09;4.761.904.762;90.045;4.1
48;669-54-1719;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;18.93;6;5.679;119.259;10/02/2019;12:45;Crédito;113.58;4.761.904.762;5.679;8.1
49;574-22-5561;C;Rio de Janeiro;Membro;Feminino;Acessórios de moda;82.63;10;41.315;867.615;19/03/2019;17:08;Débito;826.3;4.761.904.762;41.315;7.9
50;326-78-5178;C;Rio de Janeiro;Membro;Masculino;Alimentos e bebidas;91.4;7;31.99;671.79;03/02/2019;10:19;Dinheiro;639.8;4.761.904.762;31.99;9.5
51;162-48-8011;A;Belo Horizonte;Membro;Feminino;Alimentos e bebidas;44.59;5;111.475;2.340.975;10/02/2019;15:10;Dinheiro;222.95;4.761.904.762;111.475;8.5
52;616-24-2851;B;São Paulo;Membro;Feminino;Acessórios de moda;17.87;4;3.574;75.054;22/03/2019;14:42;Débito;71.48;4.761.904.762;3.574;6.5
53;778-71-5554;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;15.43;1;0.7715;162.015;25/01/2019;15:46;Crédito;15.43;4.761.904.762;0.7715;6.1
54;242-55-6721;B;São Paulo;Normal;Masculino;Casa e estilo de vida;16.16;2;1.616;33.936;07/03/2019;11:49;Débito;32.32;4.761.904.762;1.616;6.5
55;399-46-5918;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;85.98;8;34.392;722.232;28/02/2019;19:01;Dinheiro;687.84;4.761.904.762;34.392;8.2
56;106-35-6779;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;44.34;2;4.434;93.114;27/03/2019;11:26;Dinheiro;88.68;4.761.904.762;4.434;5.8
57;635-40-6220;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;89.6;8;35.84;752.64;07/02/2019;11:28;Débito;716.8;4.761.904.762;35.84;6.6
58;817-48-8732;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;72.35;10;36.175;759.675;20/01/2019;15:55;Dinheiro;723.5;4.761.904.762;36.175;5.4
59;120-06-4233;C;Rio de Janeiro;Normal;Masculino;Acessórios eletrônicos;30.61;6;9.183;192.843;12/03/2019;20:36;Dinheiro;183.66;4.761.904.762;9.183;9.3
60;285-68-5083;C;Rio de Janeiro;Membro;Feminino;Esportes e viagens;24.74;3;3.711;77.931;15/02/2019;17:47;Crédito;74.22;4.761.904.762;3.711;10
61;803-83-5989;C;Rio de Janeiro;Normal;Masculino;Casa e estilo de vida;55.73;6;16.719;351.099;24/02/2019;10:55;Débito;334.38;4.761.904.762;16.719;7
